央视,#genre#
CCTV-10 (576i),https://cdn4.skygo.mn/live/disk1/CCTV-10/HLSv3-FTA/CCTV-10.m3u8
CCTV-13 (1080p),https://cdn3.163189.xyz/163189/cctv13
CCTV-16,http://74.91.26.218:82/live/cctv16hd.m3u8
港澳台,#genre#
Harbin Movie Channel,https://stream.hrbtv.net/yspd/playlist.m3u8
纪录,#genre#
CGTN Documentary (1080p),https://amg00405-rakutentv-cgtndocumentary-rakuten-0ql8j.amagi.tv/master.m3u8
地方台,#genre#
Bread TV面包台 (720p),https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
CGTN (1080p),https://amg00405-rakutentv-cgtn-rakuten-i9tar.amagi.tv/master.m3u8
Chifeng Comprehensive News Chanel,http://play1-qk.nmtv.cn/live/1735546697341033.m3u8
Harbin Comprehensive News Channel,https://stream.hrbtv.net/xwzh/playlist.m3u8?_upt=ef41dd531755913594
江津新闻综合 (480p),http://222.179.155.21:1935/ch1.m3u8
江津经济生活 (480p),http://222.179.155.21:1935/ch0.m3u8
萬州三峽移民 (576p),http://123.146.162.24:8017/c2F0hmi/1000/live.m3u8
萬州影視文藝 (576p) [Not 24/7],http://123.146.162.24:8017/d4ceB1a/1000/live.m3u8
萬州科教頻道 (576p),http://123.146.162.24:8017/Cz7WPb8/800/live.m3u8
萬州綜合頻道 (576p),http://123.146.162.24:8017/iTXwrGs/800/live.m3u8
荣昌综合 (404p) [Not 24/7],http://183.64.181.25:40023/rongchang01.m3u8
北京中华特产,http://120.76.248.139/live/bfgd/4200000158.m3u8
北京优优宝贝,http://120.76.248.139/live/bfgd/4200000153.m3u8
北京北京纪实科教,http://120.76.248.139/live/bfgd/4200000113.m3u8
北京四海钓鱼,http://120.76.248.139/live/bfgd/4200000229.m3u8
北京环球旅游,http://120.76.248.139/live/bfgd/4200000147.m3u8
北京生态环境频道,http://120.76.248.139/live/bfgd/4200000149.m3u8
北京车迷频道,http://120.76.248.139/live/bfgd/4200000146.m3u8
